Title,Company,Location,Experience,Salary / CTC,Tech Stack,Posted Date,Job Type,Industry,Source,Apply URL,Relevance Score,Match Summary,LLM Tech Stack,Joining / Notice,Location Detail,Detailed Analysis,Applied
Custom Software Engineer,Accenture,Hyderabad,7-12 Yrs,,,Few hours ago,,,naukri,https://www.naukri.com/job-listings-custom-software-engineer-accenture-solutions-pvt-ltd-hyderabad-7-to-12-years-310326930181,0.0,Custom Software Engineer at Accenture. 7-12 Yrs. Salary not disclosed.,—,Not Specified,Onsite — Hyderabad,Custom Software Engineer at Accenture. 7-12 Yrs. Salary not disclosed.,False
Python Data Engineer,Big 4 Company,"Hyderabad, Bengaluru",6-10 Yrs,14-24 Lacs PA,,5 days ago,,,naukri,https://www.naukri.com/job-listings-python-data-engineer-talworx-solutions-hyderabad-bengaluru-6-to-10-years-260326931218,0.0,Python Data Engineer at Big 4 Company. 6-10 Yrs. CTC: 14-24 Lacs PA.,—,Not Specified,"Onsite — Hyderabad, Bengaluru",Python Data Engineer at Big 4 Company. 6-10 Yrs. CTC: 14-24 Lacs PA.,False
Python Developer,Codedote Technologies,Hyderabad,5-10 Yrs,,,5 days ago,,,naukri,https://www.naukri.com/job-listings-python-developer-codedote-hyderabad-5-to-10-years-260326501341,0.0,Python Developer at Codedote Technologies. 5-10 Yrs. Salary not disclosed.,—,Not Specified,Onsite — Hyderabad,Python Developer at Codedote Technologies. 5-10 Yrs. Salary not disclosed.,False
CCAI Developer,Nisum,Hyderabad,3-8 Yrs,,,5 days ago,,,naukri,https://www.naukri.com/job-listings-ccai-developer-nisum-technologies-hyderabad-3-to-8-years-260326503672,0.0,CCAI Developer at Nisum. 3-8 Yrs. Salary not disclosed.,—,Not Specified,Onsite — Hyderabad,CCAI Developer at Nisum. 3-8 Yrs. Salary not disclosed.,False
Associate Machine Learning Engineer,Premise Health,Remote,,,,,,,indeed,https://www.indeed.com/rc/clk?jk=212034a780eca72d&bb=sUM1ExHHJlaeX5mhrrRupJtmlqJqv8OcJBgsRbGOtQz99aIe4WL1EZd4hA0iTWiPidXdYqKpCTaF3mo3l2AOVnvW9ZVH0TKvXe-my91GGm6Lhe5EbBgjfeUaoq3TA3IU&xkcb=SoDl67M3lif6MDRXUh0LbzkdCdPP&fccid=f03f38589880986a&vjs=3,0.0,Associate Machine Learning Engineer at Premise Health. Experience not specified. Salary not disclosed.,—,Not Specified,Onsite — Remote,Associate Machine Learning Engineer at Premise Health. Experience not specified. Salary not disclosed.,False
"IT Applications Engineer II, Data & Analytics",Kaiser Permanente,"Pleasanton, CA",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=c796d3f80c0adf2b&bb=sUM1ExHHJlaeX5mhrrRupNanEncKWZJjEkhNxYt3HtIjRwJUvdLw4oyOiVw86yFOVIJEKE4yEN8CLsV_lsOcGRKJnhLpqKh0WDS8sVB5sDF7487oxqoirXe7KkO8tMRQ&xkcb=SoBR67M3lif6MDRXUh0KbzkdCdPP&fccid=48ecd526e3aa3225&vjs=3,0.0,"IT Applications Engineer II, Data & Analytics at Kaiser Permanente. Experience not specified. Salary not disclosed.",—,Not Specified,"Onsite — Pleasanton, CA","IT Applications Engineer II, Data & Analytics at Kaiser Permanente. Experience not specified. Salary not disclosed.",False
Assoc AI Data Engineer,Medline Industries,"Northbrook, IL",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=1694de66666ce5ae&bb=sUM1ExHHJlaeX5mhrrRupIw1bq_Qp5wsDI8lnfw0ean7GgzrGTnVfPIArh7XBng-_KFudYQuJeIuOdtuoJuwwXfkifrhTuB6R3Qk46wogElh148lrUOe7DyzqB2GLzfw&xkcb=SoDM67M3lif6MDRXUh0JbzkdCdPP&fccid=becffc87cf690da3&vjs=3,0.0,Assoc AI Data Engineer at Medline Industries. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Northbrook, IL",Assoc AI Data Engineer at Medline Industries. Experience not specified. Salary not disclosed.,False
Associate Data Engineer,CVS Health,"Richardson, TX 75081",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=8412f6596f02500e&bb=sUM1ExHHJlaeX5mhrrRupB6T-uMooMe9dNGV63KLlWf2b3JkdcRD2-kNvxWL7B42FiYvZL9VGhxqwMEFRD1aRLPHbrkyRFf9TTTBK1ut_FQ7UeATOUL6vtpUd2NGbU0H&xkcb=SoB467M3lif6MDRXUh0IbzkdCdPP&fccid=be3b11aa573faee7&vjs=3,0.0,Associate Data Engineer at CVS Health. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Richardson, TX 75081",Associate Data Engineer at CVS Health. Experience not specified. Salary not disclosed.,False
Software Development Engineer II - Enterprise Data Product,Expedia Group,"Hybrid work in Austin, TX 78758",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=a12779cf5b7223b9&bb=sUM1ExHHJlaeX5mhrrRupJv95mMIZXinOic4Kgeuk1Ctqz9wotsImcTmW_fVwbUcpGcCwSzF8C1MbncLc69eVmZdUV30l9rjCzuN5R9JMm_SngFc8F-HPt2LdQ8exOIM&xkcb=SoD267M3lif6MDRXUh0PbzkdCdPP&fccid=160efb82f2462f14&vjs=3,0.0,Software Development Engineer II - Enterprise Data Product at Expedia Group. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Hybrid work in Austin, TX 78758",Software Development Engineer II - Enterprise Data Product at Expedia Group. Experience not specified. Salary not disclosed.,False
Lead Data Engineer,Informatica,"Ireland, WV",,,,,,,indeed,https://www.indeed.com/rc/clk?jk=e5c073fcef2f4bb7&bb=sUM1ExHHJlaeX5mhrrRupNuXO0NFOkinR_nC3ogqATqFEl1MyATZ49ZNBvlxKIfKctaU0i3seAspwfKj5UWHwYExZ46yYYKT-ZJ1-kImR7jvYOnKCVJqI6B1yHMsOfq3&xkcb=SoBC67M3lif6MDRXUh0ObzkdCdPP&fccid=504f47d5ef1e1317&vjs=3,0.0,Lead Data Engineer at Informatica. Experience not specified. Salary not disclosed.,—,Not Specified,"Onsite — Ireland, WV",Lead Data Engineer at Informatica. Experience not specified. Salary not disclosed.,False
