Title,Company,Location,Experience,Salary / CTC,Tech Stack,Posted Date,Job Type,Industry,Source,Apply URL,Relevance Score,Match Summary,LLM Tech Stack,Joining / Notice,Location Detail,Detailed Analysis,Applied
GenAI Data ETL Engineer,Ahead,"Hybrid - Hyderabad, Gurugram, Bengaluru",9-14 Yrs,,,Today,,,naukri,https://www.naukri.com/job-listings-genai-data-etl-engineer-ahead-hyderabad-gurugram-bengaluru-9-to-14-years-300326038343,0.0,GenAI Data ETL Engineer at Ahead. 9-14 Yrs. Salary not disclosed.,—,Not Specified,"Onsite — Hybrid - Hyderabad, Gurugram, Bengaluru",GenAI Data ETL Engineer at Ahead. 9-14 Yrs. Salary not disclosed.,False
Data Engineer,Amgen Inc,Hyderabad,5-9 Yrs,,,Today,,,naukri,https://www.naukri.com/job-listings-data-engineer-amgen-inc-hyderabad-5-to-9-years-310326926683,0.0,Data Engineer at Amgen Inc. 5-9 Yrs. Salary not disclosed.,—,Not Specified,Onsite — Hyderabad,Data Engineer at Amgen Inc. 5-9 Yrs. Salary not disclosed.,False
Data Engineer,Accenture,Hyderabad,3-7 Yrs,,,Today,,,naukri,https://www.naukri.com/job-listings-data-engineer-accenture-solutions-pvt-ltd-hyderabad-3-to-7-years-310326921176,0.0,Data Engineer at Accenture. 3-7 Yrs. Salary not disclosed.,—,Not Specified,Onsite — Hyderabad,Data Engineer at Accenture. 3-7 Yrs. Salary not disclosed.,False
Data Engineer,Enormous IT Services Pvt. Ltd.,"Hybrid - Hyderabad, Bangalore Rural",5-10 Yrs,,,Few hours ago,,,naukri,https://www.naukri.com/job-listings-data-engineer-enormous-it-services-hyderabad-bangalore-rural-5-to-10-years-220724005788,0.0,Data Engineer at Enormous IT Services Pvt. Ltd.. 5-10 Yrs. Salary not disclosed.,—,Not Specified,"Onsite — Hybrid - Hyderabad, Bangalore Rural",Data Engineer at Enormous IT Services Pvt. Ltd.. 5-10 Yrs. Salary not disclosed.,False
EY - GDS Consulting - AI And DATA - Data Engineer- Manager,EY,Hyderabad,8-13 Yrs,,,Few hours ago,,,naukri,https://www.naukri.com/job-listings-ey-gds-consulting-ai-and-data-data-engineer-manager-ernst-young-llp-hyderabad-8-to-13-years-310326933125,0.0,EY - GDS Consulting - AI And DATA - Data Engineer- Manager at EY. 8-13 Yrs. Salary not disclosed.,—,Not Specified,Onsite — Hyderabad,EY - GDS Consulting - AI And DATA - Data Engineer- Manager at EY. 8-13 Yrs. Salary not disclosed.,False
Data Engineer (HVR),Ascendion Engineering,"Hybrid - Hyderabad, Pune, Bengaluru",6-10 Yrs,20-27.5 Lacs PA,,2 days ago,,,naukri,https://www.naukri.com/job-listings-data-engineer-hvr-ascendion-engineering-hyderabad-pune-bengaluru-6-to-10-years-290326003049,0.0,Data Engineer (HVR) at Ascendion Engineering. 6-10 Yrs. CTC: 20-27.5 Lacs PA.,—,Not Specified,"Onsite — Hybrid - Hyderabad, Pune, Bengaluru",Data Engineer (HVR) at Ascendion Engineering. 6-10 Yrs. CTC: 20-27.5 Lacs PA.,False
Data Analyst / Engineer,Consilio,"Gurugram, Bengaluru",5-10 Yrs,,,1 day ago,,,naukri,https://www.naukri.com/job-listings-data-analyst-engineer-consilio-llc-gurugram-bengaluru-5-to-10-years-300326500073,0.0,Data Analyst / Engineer at Consilio. 5-10 Yrs. Salary not disclosed.,—,Not Specified,"Onsite — Gurugram, Bengaluru",Data Analyst / Engineer at Consilio. 5-10 Yrs. Salary not disclosed.,False
DBT Engineer (Data Build Tool),Coforge,"Hyderabad, Noida, Pune",9-14 Yrs,,,1 day ago,,,naukri,https://www.naukri.com/job-listings-dbt-engineer-data-build-tool-coforge-noida-hyderabad-pune-9-to-14-years-300326032409,0.0,DBT Engineer (Data Build Tool) at Coforge. 9-14 Yrs. Salary not disclosed.,—,Not Specified,"Onsite — Hyderabad, Noida, Pune",DBT Engineer (Data Build Tool) at Coforge. 9-14 Yrs. Salary not disclosed.,False
Data Engineer,Randomtrees,"Hybrid - Hyderabad, Chennai, Bengaluru",5-10 Yrs,,,1 day ago,,,naukri,https://www.naukri.com/job-listings-data-engineer-randomtrees-hyderabad-chennai-bengaluru-5-to-10-years-300326006107,0.0,Data Engineer at Randomtrees. 5-10 Yrs. Salary not disclosed.,—,Not Specified,"Onsite — Hybrid - Hyderabad, Chennai, Bengaluru",Data Engineer at Randomtrees. 5-10 Yrs. Salary not disclosed.,False
Walk-in || Data Engineer,Hexaware Technologies,"Hyderabad, Pune, Bengaluru",04 Apr,,,04 Apr,,,naukri,https://www.naukri.com/job-listings-data-engineer-hexaware-technologies-hyderabad-pune-bengaluru-4-to-9-years-310326022348,0.0,Walk-in || Data Engineer at Hexaware Technologies. 04 Apr. Salary not disclosed.,—,Not Specified,"Onsite — Hyderabad, Pune, Bengaluru",Walk-in || Data Engineer at Hexaware Technologies. 04 Apr. Salary not disclosed.,False
